id,title,rank,start_date,studio,mean,popularity,num_list_users,num_scoring_users,genres
54122,Ooyukiumi no Kaina: Hoshi no Kenja,4133,2023-10-13,Polygon Pictures,7.03,6488,9596,2307,
2141,Oseam,4134,2003-05-01,Polygon Pictures,7.03,7472,6766,1980,
6178,Pokemon Movie 12: Arceus Choukoku no Jikuu e,4135,2009-07-18,OLM,7.03,2229,89094,54499,
32094,Reikenzan: Hoshikuzu-tachi no Utage,4136,2016-01-09,Studio Deen,7.03,2133,95410,37754,
4063,Sekirei,4137,2008-07-02,Seven Arcs,7.03,560,408859,205361,
11751,Senki Zesshou Symphogear,4138,2012-01-06,Satelight,7.03,1827,118657,44900,
1236,SF Saiyuuki Starzinger,4139,1978-04-02,Toei Animation,7.03,10062,2877,974,
45653,Soredemo Ayumu wa Yosetekuru,4140,2022-07-08,SILVER LINK.,7.03,1440,161912,50723,
18277,Strike the Blood,4141,2013-10-04,SILVER LINK.,7.03,328,638626,312181,
10821,Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunagu Kiseki no Melody♪,4142,2011-10-29,Toei Animation,7.03,7845,5981,2364,
12709,Tales of Symphonia The Animation: Sekai Tougou-hen Specials,4143,2011-11-23,ufotable,7.03,7607,6470,2197,
21851,Tesagure! Bukatsumono Encore,4144,2014-01-12,Yaoyorozu,7.03,8445,4997,1606,
3159,The Kabocha Wine,4145,1982-07-05,Toei Animation,7.03,9319,3698,691,
1555,Tokimeki Memorial: Only Love,4146,2006-10-03,AIC ASTA,7.03,3644,37475,15473,
1652,Uchuu Senkan Yamato III,4147,1980-10-11,Academy Productions,7.03,7683,6306,1923,
51225,Uma Musume: Pretty Derby - 1st Anniversary Special Animation,4148,2022-02-22,Studio Kai,7.03,9045,4070,1468,
19023,"Wake Up, Girls!",4149,2014-01-11,Tatsunoko Production,7.03,2977,54347,19338,
48684,Wan Jie Du Zun,4150,2021-04-06,Ruo Hong Culture,7.03,9791,3174,1027,
